sample_id,wav_path,text,language,duration_sec,primary_emotion,secondary_emotions,intensity,reference_score,is_reference_candidate,reason,notes
MAY_0019,data/raw/wav/MAY_0019.wav,ああああ。,ja,1.92,other,,2,2,False,仅为语气词，缺乏完整语义，时长略低于建议区间，不适合独立参考。,
MAY_0020,data/raw/wav/MAY_0020.wav,ああウーパだよしかもメタルメタルウーパ。,ja,5.008,excited,happy,4,4,True,情绪明确且饱满，句子完整，时长合适，适合表现惊喜语气。,
MAY_0021,data/raw/wav/MAY_0021.wav,すごく。,ja,1.013,neutral,,2,1,False,仅为副词残句，时长过短且严重依赖上下文，不适合作为参考。,
MAY_0022,data/raw/wav/MAY_0022.wav,本当いいの、ヒカリ。,ja,3.168,gentle,,2,4,True,语气偏向安抚，句子完整独立，时长在理想区间。,
MAY_0023,data/raw/wav/MAY_0023.wav,へえありがとうカリー。,ja,2.875,happy,,2,4,True,表达感谢，情绪明确自然，适合单句参考。,
MAY_0024,data/raw/wav/MAY_0024.wav,ああ待って待って名前書かなくちゃ。,ja,3.637,worried,excited,3,4,True,带有轻微焦急感，语义完整，无强上下文依赖。,
MAY_0025,data/raw/wav/MAY_0025.wav,タイムマシンあの人が作ったの。,ja,4.043,serious,,2,4,True,陈述关键信息，语气平稳完整，适合作为基准参考。,
MAY_0026,data/raw/wav/MAY_0026.wav,あっお帰りメタルーパがいなくなっちゃった。,ja,5.008,worried,sad,3,4,True,包含突发状况的担忧，句子结构完整，情绪指向明确。,
MAY_0027,data/raw/wav/MAY_0027.wav,落としたみたい。,ja,1.691,worried,,2,2,False,时长不足2秒，文本较短，情绪轻微担忧，不适合作为独立参考。,时长偏短
MAY_0028,data/raw/wav/MAY_0028.wav,あたりっこないよ。だってね、メタルーパはネットオークションで一万円近いプレミアがついてるんだよ。,ja,8.72,serious,teasing,3,3,False,句子完整但时长略超8秒，情绪为认真解释，适合作为参考但需注意长度。,时长稍长
MAY_0029,data/raw/wav/MAY_0029.wav,わかんないから探してるんだよ。あと見つけても売らないからね。,ja,6.571,serious,,3,4,True,时长适中，语义完整独立，情绪明确偏向认真坚持。,适合作为参考
MAY_0030,data/raw/wav/MAY_0030.wav,だから占いってばマユシの名前書いちゃったし。,ja,5.24,embarrassed,,2,4,True,时长合适，句子完整，带有轻微懊恼或不好意思的情绪。,情绪自然
MAY_0031,data/raw/wav/MAY_0031.wav,トゥトゥルウーパさんウーパさん出ておいで。,ja,5.136,gentle,happy,3,4,True,时长适中，为完整的呼唤句，情绪偏向温柔期待。,适合呼唤类参考
MAY_0032,data/raw/wav/MAY_0032.wav,お帰りもね。,ja,1.248,gentle,,2,2,False,时长不足2秒，过于简短，不适合作为独立参考音频。,日常寒暄回应
MAY_0033,data/raw/wav/MAY_0033.wav,夢かな。,ja,2.709,neutral,,2,3,True,时长合适，语义完整，情绪平稳，适合作为参考。,独白感较强
MAY_0034,data/raw/wav/MAY_0034.wav,オカリどうしたの?,ja,2.709,worried,,3,4,True,疑问句情绪明确，时长适中，适合单句参考。,使用昵称，语气关切
MAY_0035,data/raw/wav/MAY_0035.wav,ねえねえ何があったの顔色すごく悪いけど。,ja,5.131,worried,,4,5,True,句子完整，关切情绪强烈且明确，时长理想，极适合作为参考。,连续发问，语气急切
MAY_0037,data/raw/wav/MAY_0037.wav,そうなんだ。悪いことしちゃだめなんだよ、オカリン。,ja,5.333,serious,,3,4,True,劝诫语气明确，时长合适，语义完整，适合作为参考。,带有叮嘱意味
MAY_0038,data/raw/wav/MAY_0038.wav,おかりんおかりんそこはラボメンって言わなきゃ所属研究員じゃなくて。,ja,6.725,gentle,,2,4,True,文本完整，带有亲昵纠正语气，时长合适。,
MAY_0039,data/raw/wav/MAY_0039.wav,おかりんって呼び方の方が可愛いのに。,ja,3.376,happy,,2,5,True,表达明确偏好，独立成句，情感自然。,
MAY_0040,data/raw/wav/MAY_0040.wav,ってってれえマユシーです。着るんじゃなくて作るのが趣味だよ。,ja,5.205,happy,,3,4,True,自我介绍与兴趣说明，情绪明朗，适合参考。,
MAY_0041,data/raw/wav/MAY_0041.wav,あ今その人ニヤリって笑った。,ja,3.776,neutral,,2,4,True,客观描述带轻微惊讶，语义完整。,
MAY_0042,data/raw/wav/MAY_0042.wav,通じないんじゃないかな。,ja,2.123,worried,,2,4,True,表达合理疑虑，句子独立，时长达标。,
MAY_0043,data/raw/wav/MAY_0043.wav,その人にしてみたらまゆしいたちがゲームみたいに見えてるのかな。,ja,5.419,neutral,,2,4,True,句子完整，时长合适，带有轻微的思考与推测语气。,
MAY_0044,data/raw/wav/MAY_0044.wav,うんじゃあダルくんの大好きな二次元の女の子たちもそうなの。,ja,5.051,teasing,,3,4,True,语气轻松带调侃，句子完整且时长适中。,
MAY_0045,data/raw/wav/MAY_0045.wav,はあ針指に刺さった。,ja,5.237,worried,,3,3,True,表达轻微痛感与惊讶，时长合适，但口语化略强。,
MAY_0046,data/raw/wav/MAY_0046.wav,マユシはオカリナの人質だからここにいようと思います。,ja,5.083,serious,,3,5,True,句子结构完整，语气坚定且带有角色特色，非常适合作为参考。,
MAY_0047,data/raw/wav/MAY_0047.wav,きっとねアルパカさんが怒っちゃったんだよ。,ja,4.272,gentle,,2,4,True,语气带有推测与安抚意味，句子完整，时长适中。,
MAY_0048,data/raw/wav/MAY_0048.wav,どうかした。,ja,1.36,worried,,2,2,False,时长不足2秒，文本较短且依赖上下文。,关切语气但偏短
MAY_0049,data/raw/wav/MAY_0049.wav,うん?,ja,1.067,neutral,,1,1,False,仅为语气词，时长过短，高度依赖上下文。,不适合独立参考
MAY_0050,data/raw/wav/MAY_0050.wav,わあああ。,ja,3.051,excited,,4,3,False,纯感叹词缺乏完整语义，虽时长合适但不适合作为通用语音参考。,情绪强烈但语义单一
MAY_0051,data/raw/wav/MAY_0051.wav,見てない。,ja,4.08,neutral,,2,4,True,句子完整独立，时长适中，情绪明确，适合作为参考。,语义清晰独立
MAY_0052,data/raw/wav/MAY_0052.wav,歩いてたかな。,ja,1.776,neutral,,2,2,False,时长略短，带有推测语气，上下文依赖性较强。,偏内心独白
MAY_0053,data/raw/wav/MAY_0053.wav,うんそれは仕方ないと思うよ。,ja,3.84,neutral,,2,5,True,文本完整独立，语气平和自然，时长适中，非常适合作为中性参考。,
MAY_0054,data/raw/wav/MAY_0054.wav,とにかくね、最初からこの辺には誰もいなかったよ。ああ、あそっか、オカリは幻を見てたんだね。,ja,9.648,neutral,,2,2,False,时长超标且包含两层独立语义，句子偏长，不适合作为单句参考。,建议拆分后使用
MAY_0055,data/raw/wav/MAY_0055.wav,きっとこの暑さのせいだよ。トゥッテル。,ja,4.139,neutral,,2,4,True,文本完整，语气平稳，时长合适，适合作为日常陈述参考。,
MAY_0056,data/raw/wav/MAY_0056.wav,わあびっくりしたね。,ja,3.093,excited,,3,5,True,情绪明确（惊讶），句子简短完整，时长极佳，适合做情绪参考。,
MAY_0057,data/raw/wav/MAY_0057.wav,ドカーンってすっごい音がしたもん。,ja,3.531,excited,,3,4,True,文本完整，带有感叹与强调语气，时长适中，适合参考。,含拟声词，需注意发音连贯性
MAY_0058,data/raw/wav/MAY_0058.wav,来たのかな宇宙人さん乗ってるのかな。,ja,4.757,neutral,,2,4,True,文本完整，时长适中，带有轻微的好奇与推测语气，适合作为参考。,
MAY_0059,data/raw/wav/MAY_0059.wav,あっごめんなさい。,ja,1.616,embarrassed,,3,2,False,时长明显过短，且为常见短句，信息量不足，不适合作为参考。,
MAY_0060,data/raw/wav/MAY_0060.wav,おかリンは本当にドクターペッパーさんが大好きだよね。,ja,3.99,gentle,,2,4,True,句子完整自然，时长合适，语气亲切温和，适合提取音色特征。,
MAY_0061,data/raw/wav/MAY_0061.wav,またゲルバナ作るの。,ja,2.427,teasing,,3,4,True,文本完整，带有轻微的调侃与疑问语气，时长符合标准。,
MAY_0062,data/raw/wav/MAY_0062.wav,だってねゲルバナはゲルバナだもん。,ja,3.461,happy,teasing,3,4,True,句式完整且带有角色特有的俏皮辩解感，时长适中，适合参考。,
MAY_0063,data/raw/wav/MAY_0063.wav,なんでいつもいつも一房まるごと入れるの もったいないよ。,ja,6.357,teasing,gentle,2,4,True,文本完整，语气带轻微调侃与抱怨，时长适中，适合单句参考。,
MAY_0064,data/raw/wav/MAY_0064.wav,勝たなくてもいいよ。あのね、バナナはマユシーが買ってきてるんだからね。おかげでマユシーはちっともバナナが食べられません。,ja,10.581,gentle,worried,2,2,False,时长超出建议区间，句子偏长且含多段叙述，不适合作为单句参考。,
MAY_0065,data/raw/wav/MAY_0065.wav,R E N G こちらは電話レンジ かっこかりです。,ja,8.192,neutral,,1,2,False,偏向功能说明与字母拼读，情绪平淡且时长略超上限。,
MAY_0066,data/raw/wav/MAY_0066.wav,マユシの声聞こえてきた。,ja,2.933,neutral,,1,3,True,文本完整简短，时长合适，适合作为中性陈述参考。,偏旁白/陈述语气
MAY_0067,data/raw/wav/MAY_0067.wav,こちらからタイマー操作ができます。,ja,3.893,neutral,,1,4,True,文本完整清晰，时长适中，适合作为中性说明语气参考。,
MAY_0068,data/raw/wav/MAY_0068.wav,シャープボタンを押した後、温めたい秒数をプッシュしてください。,ja,7.152,neutral,,2,5,True,完整设备操作指引，语气平稳客观，时长标准，极适合作为中性基准参考。,
MAY_0069,data/raw/wav/MAY_0069.wav,例えば一分ならシャープ六零。,ja,4.997,neutral,,1,4,True,举例说明句，语义相对独立完整，时长合适，适合作为中性参考。,略带上下文依赖，但单句可独立使用。
MAY_0070,data/raw/wav/MAY_0070.wav,二分ならシャープ一二零です。,ja,5.008,neutral,,1,4,True,延续性举例，句式完整清晰，时长适中，适合参考。,与前句结构相似，可作中性语调补充。
MAY_0071,data/raw/wav/MAY_0071.wav,ゲル花のできあがりー。,ja,2.485,happy,excited,3,4,True,完成宣告句，尾音拖长带有轻松愉快感，时长在合理区间，情绪明确。,
MAY_0072,data/raw/wav/MAY_0072.wav,なんかねゲルバナは中身がデロデロでブニュブニュだったよ。,ja,6.805,happy,teasing,3,4,True,口语化体验分享，拟声词使用带来生动感，语义完整，适合参考。,语气偏日常闲聊，情绪自然。
MAY_0073,data/raw/wav/MAY_0073.wav,味もしないし全然美味しくなかった。,ja,4.677,neutral,,2,4,True,文本完整，表达明确的失望评价，语气平稳，时长合适。,
MAY_0074,data/raw/wav/MAY_0074.wav,だるくんだるくん鼻血出てる。,ja,3.707,worried,,3,4,True,文本完整，陈述突发状况，带有轻微担忧情绪，时长合适。,
MAY_0075,data/raw/wav/MAY_0075.wav,あなたのバナナ分乳部。,ja,3.205,other,,1,2,False,语义晦涩且高度依赖上下文，疑似特定设定台词或残句，不适合通用参考。,
MAY_0076,data/raw/wav/MAY_0076.wav,冷凍の逆なら解凍じゃないのかな。,ja,4.608,neutral,,2,4,True,文本完整，为逻辑推测与疑问句式，语气自然，时长合适。,
MAY_0077,data/raw/wav/MAY_0077.wav,じゃあどういうこと。,ja,2.117,serious,,2,3,True,完整疑问句，但含承接词略有上下文依赖，时长偏短，仍具参考价值。,
MAY_0078,data/raw/wav/MAY_0078.wav,あれれ?おかりんだ。出てる。,ja,3.696,neutral,,2,4,True,文本完整，语气自然，时长在理想区间，适合作为日常对话参考。,带有轻微惊讶感，发音清晰。
MAY_0079,data/raw/wav/MAY_0079.wav,ああアキバの武器屋本舗で買ったやつでしょ九百八十円だっけ。,ja,7.483,neutral,,2,4,True,句子完整连贯，信息明确，时长接近上限但仍可接受，适合陈述语气参考。,语速可能偏快，但文本逻辑完整。
MAY_0080,data/raw/wav/MAY_0080.wav,え消されちゃうの?ほかり心配してくれてありがとう。あでもでも奴らって誰かな?,ja,10.267,worried,happy,3,2,False,时长超标，情绪多次转换且含上下文依赖词，不适合作为单句参考。,包含多个短句拼接，语境跳跃。
MAY_0081,data/raw/wav/MAY_0081.wav,おかりんだよ。,ja,1.253,neutral,,1,2,False,时长明显过短，文本过于简短，缺乏足够特征供模型学习。,仅适合极短提示音，参考价值有限。
MAY_0082,data/raw/wav/MAY_0082.wav,美しいステ関係だね。へへへ、まゆしは腐女子じゃないけど、ちょっとドキドキしてきちゃうよ。,ja,10.011,happy,teasing,3,2,False,时长超标，包含较多语气词与特定情境独白，通用性较低。,角色自称明显，情绪偏向特定互动场景。
MAY_0083,data/raw/wav/MAY_0083.wav,ルカ君に会いに来たんだよ。,ja,2.272,happy,,2,4,True,文本完整独立，语气自然轻快，时长在推荐区间内，适合作为参考。,
MAY_0084,data/raw/wav/MAY_0084.wav,来月のコミまでライネットのキラリちゃんコスをしてほしいってずっと頼んでるのにちっともオッケしてくれないんだよ。,ja,9.888,teasing,worried,3,2,False,句子过长且时长接近10秒，超出推荐区间，不适合作为单句参考。,
MAY_0085,data/raw/wav/MAY_0085.wav,でもでもルカ君は絶対似合うと思うんだ。,ja,4.405,happy,excited,3,5,True,时长适中，语义完整且情绪积极明确，非常适合作为参考音频。,
MAY_0086,data/raw/wav/MAY_0086.wav,こんな可愛い子が女の子のはずがないって大人気になるよねしようよコスプレデビュー。,ja,8.848,excited,teasing,4,3,False,时长略超上限，且文本为口语连读缺乏标点断句，情绪转换较快，参考适配度一般。,
MAY_0087,data/raw/wav/MAY_0087.wav,へえ、繭神にとっては大事なことだもん。,ja,4.283,gentle,,2,4,True,时长合适，语气平和自然，语义完整，适合作为中性偏温柔的参考。,
MAY_0088,data/raw/wav/MAY_0088.wav,ははは今の香りの説明ゆとりっぽいね。,ja,5.247,happy,teasing,3,5,True,文本完整，带有笑声与轻松调侃语气，时长在理想区间内。,
MAY_0089,data/raw/wav/MAY_0089.wav,じゃあマユシー はこれからバイトだからもう行くね。,ja,4.434,neutral,,2,4,True,日常告别语句，语义完整独立，语气自然平稳，时长合适。,
MAY_0091,data/raw/wav/MAY_0091.wav,というわけでまた明日ね。,ja,2.768,neutral,,2,4,True,标准结束语，文本完整，语气平稳，时长符合推荐范围。,
MAY_0092,data/raw/wav/MAY_0092.wav,姫。,ja,1.164,neutral,,2,2,False,仅含单一称呼词，时长过短且高度依赖上下文，不适合作为独立参考。,
MAY_0093,data/raw/wav/MAY_0093.wav,うん、それっていつのこと?,ja,4.824,neutral,,2,4,True,完整疑问句，语义清晰，语气自然，时长在理想区间。,
MAY_0094,data/raw/wav/MAY_0094.wav,聞いてないかな。,ja,2.124,neutral,,2,4,True,句子完整，语气自然日常，时长符合标准，适合作为中性参考。,
MAY_0095,data/raw/wav/MAY_0095.wav,変なおかりい。,ja,1.808,other,,2,2,False,时长略低于建议区间，文本疑似识别误差或语义不完整，不适合作为参考。,文本可能存在ASR错误
MAY_0096,data/raw/wav/MAY_0096.wav,じゃあね、トゥトゥル。,ja,2.188,happy,gentle,3,4,True,告别用语完整，情绪轻松友好，时长适中，适合日常互动参考。,
MAY_0097,data/raw/wav/MAY_0097.wav,お帰りなさいませご主人様。,ja,2.916,gentle,,3,5,True,句式完整标准，情绪礼貌温和，时长完美，极适合作为高质量参考。,典型服务/女仆场景用语
MAY_0098,data/raw/wav/MAY_0098.wav,ああオカリナ。,ja,2.113,neutral,,2,3,True,句子较短但语义完整，情绪为轻微感叹，时长达标，可作为基础参考。,
MAY_0099,data/raw/wav/MAY_0099.wav,お帰りお帰りなさいませ。,ja,2.668,gentle,,2,4,True,文本完整，时长合适，情绪明确为温和欢迎。,礼貌用语，适合做基础参考。
MAY_0100,data/raw/wav/MAY_0100.wav,ねえねえオカリマユシイは今気づいたんだけどね。,ja,5.318,excited,happy,3,4,True,文本完整，口语化表达自然，情绪偏向兴奋分享。,适合日常对话参考。
MAY_0101,data/raw/wav/MAY_0101.wav,おかりんとおかえりって似てるね。,ja,5.136,teasing,happy,2,4,True,文本完整，带有轻松调侃意味，时长适中。,适合轻快语气参考。
MAY_0102,data/raw/wav/MAY_0102.wav,えっとね、なんかわからないけど、マユシーもサンクチュアリっていうところに行きたいな。,ja,11.221,gentle,worried,2,2,False,时长明显超出建议区间，且开头带有犹豫语气，连贯性稍弱。,需剪辑或降权使用。
MAY_0103,data/raw/wav/MAY_0103.wav,ええ。,ja,1.328,neutral,,1,1,False,文本过短且为单字应答，缺乏完整情绪表达。,仅适合极短反馈音。
MAY_0104,data/raw/wav/MAY_0104.wav,そうだよマユシもフェリスちゃんもダメなんてねオカリナ冷たいと思うのです。,ja,7.653,gentle,sad,2,4,True,文本完整，时长合适，带有轻微抱怨与撒娇语气，情绪明确。,
MAY_0105,data/raw/wav/MAY_0105.wav,フェリスちゃんはフェリスちゃんだよ。ねえ。,ja,3.925,gentle,,2,4,True,句子完整，语气肯定且柔和，适合作为参考。,
MAY_0106,data/raw/wav/MAY_0106.wav,あのねマユシは言いにくいからフェリスちゃんって短くしてるんだ。,ja,5.92,neutral,,2,4,True,解释性语句，结构完整，时长适中，情绪平稳。,
MAY_0107,data/raw/wav/MAY_0107.wav,任せてにゃんにゃん。,ja,1.675,happy,teasing,3,2,False,时长明显过短（不足2秒），信息量有限，不适合作为单句参考。,
MAY_0108,data/raw/wav/MAY_0108.wav,だるくん、おかリンが来たにゃん。,ja,2.891,happy,,3,4,True,文本完整，带有角色口癖，情绪轻快明确，时长合适。,
MAY_0109,data/raw/wav/MAY_0109.wav,フェリスちゃんもオカリナのこと気に入ってるみたいだにゃ。,ja,3.952,gentle,,2,5,True,文本完整，语气自然温和，时长适中，适合作为参考。,
MAY_0110,data/raw/wav/MAY_0110.wav,お店の子お店に来るご主人様たちみんな含めてフェリスちゃんのお話についていけるのはねおかりんだけだもんにゃ。,ja,11.013,neutral,,2,2,False,句子过长且信息密集，超出理想时长，不适合作为单句参考。,
MAY_0111,data/raw/wav/MAY_0111.wav,んでえご主人様ご注文はお決まりですかにゃ。,ja,4.917,gentle,,2,5,True,完整的服务用语，语气礼貌自然，时长合适，适合参考。,
MAY_0112,data/raw/wav/MAY_0112.wav,かしこまりましにゃんにゃん。,ja,1.813,happy,,3,2,False,时长过短，文本为简短应答，缺乏完整语境，参考性较弱。,
MAY_0113,data/raw/wav/MAY_0113.wav,R E N G こちらは電話レンジ です。,ja,8.16,neutral,,1,3,False,文本完整清晰，但时长略超上限，情绪偏中性，可作为基础参考。,
MAY_0114,data/raw/wav/MAY_0114.wav,こちらからタイマー操作ができます。,ja,3.947,neutral,,1,4,True,文本完整，为标准操作说明，情绪平稳，时长合适。,适合作为中性说明类语音参考。
MAY_0115,data/raw/wav/MAY_0115.wav,シャープボタンを押した後、温めたい秒数をプッシュしてください。,ja,7.131,neutral,,1,4,True,句子完整清晰，为标准操作指引，时长在合理区间内。,语速适中，适合作为长句参考。
MAY_0116,data/raw/wav/MAY_0116.wav,例えば一分ならシャープ六零。,ja,4.992,neutral,,1,3,True,文本为举例说明，语义相对独立，但略带上下文依赖感。,可作为中性参考，但优先级略低。
MAY_0117,data/raw/wav/MAY_0117.wav,二分ならシャープ一二零です。,ja,5.024,neutral,,1,3,True,承接上文的举例说明，语义基本完整，适合中性语气参考。,建议结合上下文使用。
MAY_0118,data/raw/wav/MAY_0118.wav,ただいまー あー おなかすいたー。,ja,5.413,happy,gentle,3,5,True,情绪鲜明自然，口语化表达完整，非常适合作为角色日常语气参考。,拖音体现放松状态，情感特征明显。
MAY_0119,data/raw/wav/MAY_0119.wav,唐揚げ食べようっと、ジューシー唐揚げナンバーワン。,ja,5.621,happy,,3,4,True,文本完整，语气轻松愉快，时长适中，适合作为日常开心状态的参考。,
MAY_0120,data/raw/wav/MAY_0120.wav,おかり、バナナ買っといてくれた?ねえ、おかり。,ja,5.867,teasing,,3,4,True,句子完整，带有日常询问与亲昵呼唤语气，情绪明确且时长合适。,包含昵称互动，适合轻松对话参考。
MAY_0121,data/raw/wav/MAY_0121.wav,あれれ お客さん。,ja,2.392,other,,2,3,True,短句但完整，带有轻微惊讶与招呼语气，时长偏短但可用。,适合短促反应或轻微惊讶参考。
MAY_0122,data/raw/wav/MAY_0122.wav,マユシイです。よろしくね。,ja,2.448,gentle,,2,5,True,标准自我介绍，语气礼貌温和，结构完整清晰，非常适合作为基准参考。,
MAY_0123,data/raw/wav/MAY_0123.wav,へえ本当すごい女の子のラボメンだ。,ja,5.784,excited,,3,4,True,表达赞叹与惊喜，情绪明确，句子完整且时长适中。,适合表达钦佩或发现新事物时的参考。
MAY_0124,data/raw/wav/MAY_0124.wav,みんなも唐揚げ食べる一個ずつなら揚げてもいいよ。,ja,4.92,gentle,,2,4,True,句子完整独立，语气自然温和，时长在理想区间内，适合单句参考。,日常分享语气，预期发音清晰
MAY_0125,data/raw/wav/MAY_0125.wav,ああマヨシーのバナナが。,ja,3.368,worried,,2,2,False,句末助词导致语义未尽，属于残句，高度依赖上下文。,语气中断，不适合独立推理
MAY_0126,data/raw/wav/MAY_0126.wav,ける花になってるよ。,ja,3.16,neutral,,1,2,False,文本疑似截断或存在语病，独立表意不完整，降低参考分。,“ける”可能为动词残片
MAY_0127,data/raw/wav/MAY_0127.wav,これマユシのなのに。,ja,3.688,teasing,,2,2,False,句末语气词使句子未完结，情绪表达依赖前后语境。,带有轻微抱怨/撒娇口吻
MAY_0128,data/raw/wav/MAY_0128.wav,もうどうしていつもマユシの食べ物で実験するの。,ja,5.552,serious,worried,3,5,True,句子结构完整，情绪指向明确（无奈/质问），时长合适，极适合作为参考。,完整疑问句，情绪饱满且独立
MAY_0129,data/raw/wav/MAY_0129.wav,あもしかしてこの唐揚げも実験してるのかな。,ja,5.352,neutral,worried,2,4,True,文本完整，时长适中，语气带有轻微猜测，适合作为参考。,
MAY_0131,data/raw/wav/MAY_0131.wav,わあああ。,ja,1.28,excited,,4,2,False,时长明显过短且仅为感叹词，缺乏完整语义，不适合参考。,
MAY_0132,data/raw/wav/MAY_0132.wav,お、お帰り。ええと、何が起きたのかな。,ja,7.232,worried,embarrassed,3,4,True,文本完整，带有迟疑与关切情绪，时长在合理区间，适合参考。,
MAY_0133,data/raw/wav/MAY_0133.wav,うん、どこも痛くないから平気だと思うけど。,ja,7.024,gentle,,2,5,True,语义完整清晰，语气平稳安抚，时长理想，非常适合作为参考。,
MAY_0135,data/raw/wav/MAY_0135.wav,ああ黒焦げだー!まゆしのからあげ。,ja,6.608,excited,sad,3,4,True,文本完整，情绪明确（惊讶与惋惜），时长合适，适合作为参考。,
MAY_0136,data/raw/wav/MAY_0136.wav,どうでもいいなんてあんまりだよ。えっと、クリスティーナちゃん。,ja,8.064,gentle,teasing,2,3,False,文本完整，语气温和带轻微嗔怪，时长略超8秒但整体连贯可用。,时长微超建议区间上限
MAY_0137,data/raw/wav/MAY_0137.wav,トゥトゥルー おはよう。,ja,2.576,happy,,3,4,True,标准问候语，情绪明朗轻快，时长合适。,
MAY_0138,data/raw/wav/MAY_0138.wav,うん二人が二日連続徹夜って聞いたからね差し入れ買ってきたよ。,ja,6.736,gentle,,2,5,True,句子完整连贯，关怀语气明确，时长完美契合区间。,
MAY_0139,data/raw/wav/MAY_0139.wav,じゃーんおでん缶。,ja,3.144,happy,excited,3,4,True,语气活泼，展示物品意图清晰，时长适中。,
MAY_0140,data/raw/wav/MAY_0140.wav,マユシからのプレゼントだよ。一個二百七十円もするんだから大事に食べてね。,ja,7.864,gentle,happy,3,5,True,文本完整，叮嘱语气亲切自然，时长极佳。,
MAY_0141,data/raw/wav/MAY_0141.wav,さすがにしょっちゅうおごれるほどマユシーのポケットマネーは多くないのです。,ja,6.096,neutral,,2,4,True,句子完整，时长适中，语气平和自然，适合作为参考。,
MAY_0142,data/raw/wav/MAY_0142.wav,あとバナナや唐揚げはマユシーが大好きだから今後も続けます。,ja,6.464,happy,,3,4,True,表达明确喜好，句子完整，时长合适，情绪积极。,
MAY_0143,data/raw/wav/MAY_0143.wav,あとね、他にもあるよ。うん、はい、じゃん。,ja,6.24,happy,teasing,3,3,False,包含较多语气词和互动词，语义不够独立完整，不适合作为纯净参考。,
MAY_0144,data/raw/wav/MAY_0144.wav,ライネットソーセージ。あのね、おまけでウーパのボトルキャップが付いてくるんだ。すごく欲しかったから買っちゃった。,ja,10.696,excited,,4,2,False,时长明显超出建议区间，且包含多句信息，不适合作为单句参考。,
