emotion,rank,sample_id,wav_path,duration_sec,reference_score,intensity,text,reason
happy,1,MAY_0462,data/raw/wav/MAY_0462.wav,4.872,5,4,あうん、ルカくんかわいいね。,情感明确饱满，带有明显的喜爱与感叹语气，时长完美。
happy,2,MAY_1207,data/raw/wav/MAY_1207.wav,5.28,5,4,ルカちゃんってね、マユシがドキドキしちゃうぐらい可愛いもん。,情感表达明确饱满，带有喜爱与兴奋感，句子完整且时长理想。
happy,3,MAY_1446,data/raw/wav/MAY_1446.wav,3.712,5,4,マユシはとっても幸せです。,直白表达幸福，情绪明确饱满，时长完美，极适合作参考。
happy,4,MAY_1063,data/raw/wav/MAY_1063.wav,5.952,5,4,あのね、まゆしいはおかりに愛されちゃってるね。えへへ。,语义完整，情绪明确且带有标志性笑声，时长适中。
happy,5,MAY_0930,data/raw/wav/MAY_0930.wav,2.848,5,4,どぅどぅるー まゆしいでーす。,标志性问候语，情绪欢快明确，时长合适，极具角色代表性。
neutral,1,MAY_0053,data/raw/wav/MAY_0053.wav,3.84,5,2,うんそれは仕方ないと思うよ。,文本完整独立，语气平和自然，时长适中，非常适合作为中性参考。
neutral,2,MAY_0939,data/raw/wav/MAY_0939.wav,3.52,5,2,バレルさんはありがちじゃないよ。,文本简短完整，语气自然肯定，时长处于理想区间，非常适合作为参考。
neutral,3,MAY_0300,data/raw/wav/MAY_0300.wav,5.584,5,2,スライムになって帰ってきた騎士さんたちがジェリーマンなんだね。,句子完整且信息量适中，时长理想，语气平稳清晰，非常适合作为参考音频。
neutral,4,MAY_0485,data/raw/wav/MAY_0485.wav,5.788,5,2,ちなみにね、マユシーはコスでお金は取らない主義なのです。,文本完整独立，时长处于理想区间，语气平和自然，适合作为基准参考。
neutral,5,MAY_0068,data/raw/wav/MAY_0068.wav,7.152,5,2,シャープボタンを押した後、温めたい秒数をプッシュしてください。,完整设备操作指引，语气平稳客观，时长标准，极适合作为中性基准参考。
other,1,MAY_1374,data/raw/wav/MAY_1374.wav,3.44,4,3,こんなのバカみたいだよ。,文本完整，情绪明确（抱怨/无奈），时长在理想区间内。
other,2,MAY_0529,data/raw/wav/MAY_0529.wav,5.685,4,3,うん?京馬?京馬って誰?,文本完整，疑问语气明确，时长适中，适合作为参考。
other,3,MAY_1462,data/raw/wav/MAY_1462.wav,2.944,4,3,はあああれ何。,独立短句，时长适中，惊讶疑惑情绪明确，适合参考。
other,4,MAY_0121,data/raw/wav/MAY_0121.wav,2.392,3,2,あれれ お客さん。,短句但完整，带有轻微惊讶与招呼语气，时长偏短但可用。
sad,1,MAY_0160,data/raw/wav/MAY_0160.wav,4.784,5,4,おかりんって悪いんだ。まゆしは悲しいです。,直接陈述悲伤情绪，独立完整且时长极佳，非常适合作参考。
sad,2,MAY_1389,data/raw/wav/MAY_1389.wav,6.208,5,4,クリスちゃん、行かないで、行かないでよ。,挽留语句情感饱满，结构完整，时长适中，适合参考。
sad,3,MAY_1381,data/raw/wav/MAY_1381.wav,6.352,5,4,マヤしいはね。クリスちゃんがいなくなるの、やだよ。,文本完整，情感明确表达不舍与担忧，时长适中。
sad,4,MAY_1383,data/raw/wav/MAY_1383.wav,6.688,5,4,マユシだってクリスちゃんを犠牲にしてまで生きていたくないよ。,表达强烈的拒绝与悲伤，语义完整，时长合适。
sad,5,MAY_1386,data/raw/wav/MAY_1386.wav,6.976,5,4,でもクリスちゃんがいなくなったらマユシイは悲しいよ。,句子完整，明确表达悲伤与担忧情绪，时长处于理想区间，非常适合作为参考。
serious,1,MAY_1382,data/raw/wav/MAY_1382.wav,5.616,5,4,マヤ神のためなんかに消えたりしないでね。,句式完整，语气恳切严肃，时长符合标准。
serious,2,MAY_1464,data/raw/wav/MAY_1464.wav,6.944,5,4,第三次世界大戦って大変だ大変だよ。,文本完整独立，时长理想，严肃情绪明确，非常适合作为参考。
serious,3,MAY_0328,data/raw/wav/MAY_0328.wav,4.48,5,3,まずは宝くじを買ってこなくちゃ。,文本完整独立，时长适中，语气带有明确决心，非常适合作为参考。
serious,4,MAY_0575,data/raw/wav/MAY_0575.wav,4.597,5,3,ダルくん、フェリスちゃんを困らせたらダメなんだよ。,劝诫语气明确，句子结构完整，时长适中。
serious,5,MAY_0046,data/raw/wav/MAY_0046.wav,5.083,5,3,マユシはオカリナの人質だからここにいようと思います。,句子结构完整，语气坚定且带有角色特色，非常适合作为参考。
teasing,1,MAY_0336,data/raw/wav/MAY_0336.wav,4.544,5,3,なんだかとっても胡散臭いね。へへへ。,时长适中，文本完整，带有明显的调侃与轻笑情绪，非常适合作为参考。
teasing,2,MAY_0355,data/raw/wav/MAY_0355.wav,4.224,5,3,おかリー ルカ君をいじめちゃだめだよ。,语气带有调侃与轻微劝阻，句子独立，时长适中。
teasing,3,MAY_0537,data/raw/wav/MAY_0537.wav,5.045,5,3,コスプレさせたら映えそうだな。へへ。,时长处于理想区间，文本独立完整，带有明确的调侃语气，非常适合作为参考。
teasing,4,MAY_0201,data/raw/wav/MAY_0201.wav,5.12,5,3,あああ唐揚げ二個目はあげるって言ってないよ。,情绪明确带点俏皮，句子完整独立，时长完美，非常适合作为参考。
teasing,5,MAY_0718,data/raw/wav/MAY_0718.wav,5.248,5,3,やあ、お帰り。覗きは良くないよ。,情绪明确带调侃意味，句子完整独立，时长完美。
worried,1,MAY_1387,data/raw/wav/MAY_1387.wav,5.934,5,5,そういう問題じゃないもん!クリスさんが消えちゃうのが嫌なんだもん!,情感强烈且明确，句式完整独立，时长合适，适合表现高情绪强度。
worried,2,MAY_1466,data/raw/wav/MAY_1466.wav,4.624,5,4,ううわあ、マヨシは死んじゃうの?,文本完整，担忧情绪强烈明确，时长完美，极适合作为参考。
worried,3,MAY_0512,data/raw/wav/MAY_0512.wav,5.07,5,4,なんだかマユシは怖いよ。,情绪明确（害怕/担忧），时长适中，句子独立完整，非常适合作为参考。
worried,4,MAY_0035,data/raw/wav/MAY_0035.wav,5.131,5,4,ねえねえ何があったの顔色すごく悪いけど。,句子完整，关切情绪强烈且明确，时长理想，极适合作为参考。
worried,5,MAY_1158,data/raw/wav/MAY_1158.wav,6.576,5,4,嫌がってるのに無理やり着せたりしてねトラウマになっちゃったら良くないもん。,表达明确的担忧与劝诫，语义完整，时长理想。
