voice_file,asr_text
MAY_0080.OGG,え消されちゃうの？ほかり心配してくれてありがとう。あでもでも奴らって誰かな？
MAY_0081.OGG,おかりんだよ。
MAY_0082.OGG,美しいステ関係だね。へへへ、まゆしは腐女子じゃないけど、ちょっとドキドキしてきちゃうよ。
MAY_0083.OGG,ルカ君に会いに来たんだよ。
MAY_0084.OGG,来月のコミまでライネットのキラリちゃんコスをしてほしいってずっと頼んでるのにちっともオッケしてくれないんだよ。
MAY_0085.OGG,でもでもルカ君は絶対似合うと思うんだ。
MAY_0086.OGG,こんな可愛い子が女の子のはずがないって大人気になるよねしようよコスプレデビュー。
MAY_0087.OGG,へえ、繭神にとっては大事なことだもん。
MAY_0088.OGG,ははは今の香りの説明ゆとりっぽいね。
MAY_0089.OGG,じゃあマユシー はこれからバイトだからもう行くね。
MAY_0090.OGG,うん。
MAY_0091.OGG,というわけでまた明日ね。
MAY_0092.OGG,姫。
MAY_0093.OGG,うん、それっていつのこと？
MAY_0094.OGG,聞いてないかな。
MAY_0095.OGG,変なおかりい。
MAY_0096.OGG,じゃあね、トゥトゥル。
MAY_0097.OGG,お帰りなさいませご主人様。
MAY_0098.OGG,ああオカリナ。
MAY_0099.OGG,お帰りお帰りなさいませ。
MAY_0100.OGG,ねえねえオカリマユシイは今気づいたんだけどね。
MAY_0101.OGG,おかりんとおかえりって似てるね。
MAY_0102.OGG,えっとね、なんかわからないけど、マユシーもサンクチュアリっていうところに行きたいな。
MAY_0103.OGG,ええ。
MAY_0104.OGG,そうだよマユシもフェリスちゃんもダメなんてねオカリナ冷たいと思うのです。
MAY_0105.OGG,フェリスちゃんはフェリスちゃんだよ。ねえ。
MAY_0106.OGG,あのねマユシは言いにくいからフェリスちゃんって短くしてるんだ。
MAY_0107.OGG,任せてにゃんにゃん。
MAY_0108.OGG,だるくん、おかリンが来たにゃん。
MAY_0109.OGG,フェリスちゃんもオカリナのこと気に入ってるみたいだにゃ。
MAY_0110.OGG,お店の子お店に来るご主人様たちみんな含めてフェリスちゃんのお話についていけるのはねおかりんだけだもんにゃ。
MAY_0111.OGG,んでえご主人様ご注文はお決まりですかにゃ。
MAY_0112.OGG,かしこまりましにゃんにゃん。
MAY_0113.OGG,R E N G こちらは電話レンジ です。
MAY_0114.OGG,こちらからタイマー操作ができます。
MAY_0115.OGG,シャープボタンを押した後、温めたい秒数をプッシュしてください。
MAY_0116.OGG,例えば一分ならシャープ六零。
MAY_0117.OGG,二分ならシャープ一二零です。
MAY_0118.OGG,ただいまー あー おなかすいたー。
MAY_0119.OGG,唐揚げ食べようっと、ジューシー唐揚げナンバーワン。
MAY_0120.OGG,おかり、バナナ買っといてくれた？ねえ、おかり。
MAY_0121.OGG,あれれ お客さん。
MAY_0122.OGG,マユシイです。よろしくね。
MAY_0123.OGG,へえ本当すごい女の子のラボメンだ。
MAY_0124.OGG,みんなも唐揚げ食べる一個ずつなら揚げてもいいよ。
MAY_0125.OGG,ああマヨシーのバナナが。
MAY_0126.OGG,ける花になってるよ。
MAY_0127.OGG,これマユシのなのに。
MAY_0128.OGG,もうどうしていつもマユシの食べ物で実験するの。
MAY_0129.OGG,あもしかしてこの唐揚げも実験してるのかな。
MAY_0130.OGG,おや。
MAY_0131.OGG,わあああ。
MAY_0132.OGG,お、お帰り。ええと、何が起きたのかな。
MAY_0133.OGG,うん、どこも痛くないから平気だと思うけど。
MAY_0134.OGG,えっ。
MAY_0135.OGG,ああ黒焦げだー！まゆしのからあげ。
MAY_0136.OGG,どうでもいいなんてあんまりだよ。えっと、クリスティーナちゃん。
MAY_0137.OGG,トゥトゥルー おはよう。
MAY_0138.OGG,うん二人が二日連続徹夜って聞いたからね差し入れ買ってきたよ。
MAY_0139.OGG,じゃーんおでん缶。
MAY_0140.OGG,マユシからのプレゼントだよ。一個二百七十円もするんだから大事に食べてね。
MAY_0141.OGG,さすがにしょっちゅうおごれるほどマユシーのポケットマネーは多くないのです。
MAY_0142.OGG,あとバナナや唐揚げはマユシーが大好きだから今後も続けます。
MAY_0143.OGG,あとね、他にもあるよ。うん、はい、じゃん。
MAY_0144.OGG,ライネットソーセージ。あのね、おまけでウーパのボトルキャップが付いてくるんだ。すごく欲しかったから買っちゃった。
MAY_0145.OGG,んでダルくんはどう？
MAY_0146.OGG,ダルくんのスーパーハッカー魂がメラメラバーニングしちゃったんだね。
MAY_0147.OGG,ピリピリしてる。
MAY_0148.OGG,でもハッキングって悪いことなんだよね。マユシはね、二人にそういうことしてほしくないな。
MAY_0149.OGG,悪いことは悪いことだよ。
MAY_0150.OGG,へえそれならうずら卵がいいな。
MAY_0151.OGG,まゆしいも鶉卵好きだもん。
MAY_0152.OGG,うん、わかったよ。さつま揚げよりはちくわだもんね。
MAY_0153.OGG,わあすごいねよくわかんないけど。
MAY_0154.OGG,どういうこと。
MAY_0155.OGG,日本語でオッケーだよ。
MAY_0156.OGG,だるくいちだね。
MAY_0157.OGG,なに。
MAY_0158.OGG,うわーまゆしは頭が痛くなってきました。
MAY_0159.OGG,あのね他人のメールを勝手に見るのってすごくごめんなさいって気持ちになる。
MAY_0160.OGG,おかりんって悪いんだ。まゆしは悲しいです。
MAY_0161.OGG,もうやめたほうがいいよ。
MAY_0162.OGG,ええ、なんの話？
MAY_0163.OGG,ああここからでも聞こえるよ。
MAY_0164.OGG,マヨシは悪だくみには参加しません。
MAY_0165.OGG,あのねマユシは全然わかんないよ。
MAY_0166.OGG,無理だよ。
MAY_0167.OGG,こす作りもあるしバイトもあるもん。
MAY_0168.OGG,また何か悪いことしようとしてる。
MAY_0169.OGG,オカリ待って待って。
MAY_0170.OGG,あううん違うよお昼ご飯を買ってこようかと思って。
MAY_0171.OGG,うんとどうしようかな。
MAY_0172.OGG,三本の牛丼もいいなあ。
MAY_0173.OGG,星に届かないかなって思って。
MAY_0174.OGG,あのねお昼でもお日様はそこにあるんだよ。
MAY_0175.OGG,へへへ、そうだね。
MAY_0176.OGG,そうそう、今空を見てて思ったんだけどね、まゆしいは今日のお昼はラーメンにします。
MAY_0177.OGG,てってるマユシです。
MAY_0178.OGG,おへ。
MAY_0179.OGG,おかりんおかーりん、あのね、まゆしはおかりんが何言ってるか全くついていけないよ。
MAY_0180.OGG,わかりにくい。
MAY_0181.OGG,ねえねえ今どこにいるの?
MAY_0182.OGG,たくさん子供中。
MAY_0183.OGG,へえあそっかそうなんだあでもでもまゆ氏はすごい話を聞いちゃったのです。
MAY_0184.OGG,聞きたい。
MAY_0185.OGG,じゃあメイクインに来て待ってるからね。
MAY_0186.OGG,あ、オカリ。
MAY_0187.OGG,マユシンはねお昼休憩でコンビニに行ってたのです。
MAY_0188.OGG,休憩って言ってもね、あと五分くらいしかないんだよ。
MAY_0189.OGG,その前にご飯ご飯。
MAY_0190.OGG,いいよ。
MAY_0191.OGG,はい、どうぞ。
MAY_0192.OGG,自覚。
MAY_0193.OGG,ああそうかあのねマヨシはあんまり深く考えてなかったよ。
MAY_0194.OGG,ああそうそうあのね I B N五千百の話なの。
MAY_0195.OGG,違うよあるわけないよ。
MAY_0196.OGG,あのねマユシはさっきバイト中に IBM五千百のことを思い出して店のみんなに聞いてみたんだ。
MAY_0197.OGG,最初はマッキーちゃんに聞いたんだけど、マッキーちゃんは pc には詳しくないんだって。
MAY_0198.OGG,それにねリサリサちゃんは PC は PC でも最近のしか知らなくてしかもマカだし。
MAY_0199.OGG,うん、えっとつまり、フェリスちゃんが知ってるっぽいよ。
MAY_0200.OGG,うん、あのね、レトロ PC マニアなんだって。
MAY_0201.OGG,あああ唐揚げ二個目はあげるって言ってないよ。
MAY_0202.OGG,からあげ。
MAY_0203.OGG,唐揚げ。
MAY_0204.OGG,まゆしはこの後もバイトだからそんなの無理だよ。
MAY_0205.OGG,フェリスちゃんすごく強いね。
MAY_0206.OGG,マユシはライネットの腕前、からきしだからね。すごく羨ましいよ。
MAY_0207.OGG,へえー オカリ今はねラインネットアクセスバトラーズはアキバどころか世界規模のブランドなんだよ。
MAY_0208.OGG,うんそれだからね強くなったらきっとちびっこたちの英雄になれるよ。
MAY_0209.OGG,それにね、ウーパがとっても可愛いの。
MAY_0210.OGG,フェリスちゃんはとっても忙しいから公式大会に出る暇もないんだけど、きっと世界でもトップレベルの腕前だと思うんだ。
MAY_0211.OGG,オカリ頑張れ。
MAY_0212.OGG,まゆしいはがっかりなのです。
MAY_0213.OGG,わー あかりすごいね。
MAY_0214.OGG,はーい、まゆしが確かな筋です。
MAY_0215.OGG,オカリ。
MAY_0216.OGG,ううん、えっとね、ちょっぴり抜けてきたの。この後はね、フェリスちゃんとごかんたんタイムだよ。
MAY_0217.OGG,それよりね、さっきの I B M 五千百の話だけど、フェリスちゃんにもう一度写真を見せて聞いてみたんだ。
MAY_0218.OGG,エリスちゃんが言うにはね、それは小学生になるかならないかの頃だったらしいんだけどね。
MAY_0219.OGG,秋なのにとても寒い日でフェリスちゃんはブルブル震えながら執事の黒木さんに手を繋がれて。
MAY_0220.OGG,えっとつまりねお父さんのレトロ PC コレクションの一つを神社に奉納したことがあるんだってその PC に似てるって言ってたよ。
MAY_0221.OGG,さあどこだろうね。
MAY_0222.OGG,情報。
MAY_0223.OGG,うん、おかりバイバイ。
MAY_0224.OGG,トゥトゥルーマユシイです。
MAY_0225.OGG,ああオカリナ。
MAY_0226.OGG,さっき電話したんだよ。
MAY_0227.OGG,あのねダル君に電話してみて。
MAY_0228.OGG,タル君は今日はメイクインに行ってるよ。だから電話してほしいの。そしたらね、わかるから。
MAY_0229.OGG,んじゃね。
MAY_0230.OGG,おかりおかり、悪いことはだめっていつも言ってるのに。
MAY_0231.OGG,見つけられたのはね、マユシのオテガラなんだよ。
MAY_0232.OGG,マユシ情報がなかったらオカリナは今もアキバの街をフラフラさまよってたんだもん。
MAY_0233.OGG,ということでマユシーはそろそろ帰るね。
MAY_0234.OGG,クリスチャンはどうする?途中まで一緒に帰ろ。
MAY_0235.OGG,うんそっかあんまり遅くならないうちに帰ったほうがいいよ。
MAY_0236.OGG,じゃあまた明日ねトゥトゥル。
MAY_0237.OGG,おかえりーおかえりー。あれれ、はるか君も一緒だ。
MAY_0238.OGG,なにこれ。
MAY_0239.OGG,そっかー だからルカ君が一緒なんだね。
MAY_0240.OGG,ああそうそう、あのね、ブラウン館工房にバイトさんが入ったんだって。鈴さんっていうの。
MAY_0241.OGG,えー そうなの。
MAY_0242.OGG,疲れたね。
MAY_0243.OGG,でもこのバナナまゆしいのだよ。
MAY_0244.OGG,えへへへへ、そうかな。ほかりんの役に立てたなら良かった。
MAY_0245.OGG,んじゃマユシイたちは先に帰るね。
MAY_0246.OGG,クリスチャンは帰らないの？よかったら駅まで一緒に行こうよ。
MAY_0247.OGG,そっか。じゃあまたね。トゥトゥルル。
MAY_0248.OGG,テテレー おはようー あれ あこんにちはー かな。
MAY_0249.OGG,うわーなんかねずずんっていう重い空気が漂ってるよ。
MAY_0250.OGG,空気入れ替えるね。
MAY_0251.OGG,エンタコ会議。
MAY_0252.OGG,マヨシーにもあるかな。
MAY_0253.OGG,そっか、よかった。でも、えんたくって何？
MAY_0254.OGG,悪いことは良くないよって言ったのに。
MAY_0255.OGG,そうだけど。
MAY_0256.OGG,ラグナロック。
MAY_0257.OGG,なんで確認できないの。
MAY_0258.OGG,マユシの唐揚げを温めるためのものだよね。
MAY_0259.OGG,ブラックホールができてるのここに。
MAY_0260.OGG,吸い込まれないかな。
MAY_0261.OGG,あのねメールって言うから混乱するんだと思うな。
MAY_0262.OGG,本物の紙飛行機にした手紙がピュンって飛んでいくイメージなんだよきっと。
MAY_0263.OGG,クリスチャンの言うとおりだと思うな。マユシーはそんな長い名前は覚えられません。
MAY_0264.OGG,そこってどういう意味。
MAY_0265.OGG,えクリスチャンマユシのことバカだと思ってるのかな。
MAY_0266.OGG,あっだってるー。まゆしも思いついたよ。
MAY_0267.OGG,あのね、バックトゥザメール、映画のタイトルとね、メールをくっつけてみました。
MAY_0268.OGG,意味とかじゃなくて映画のタイトルとメールをくっつけて。
MAY_0269.OGG,じゃあディメールに決定しまーす。
MAY_0270.OGG,マユシのバナナずいぶん減ったね。また買ってこなくちゃ。
MAY_0271.OGG,本当嬉しいな。
MAY_0272.OGG,オカリやダル君はねバナナ勝手に食べてもちっとも買ってきてくれないのです。
MAY_0273.OGG,クリスチャンクリスチャン痛いの痛いの飛んでけー。
MAY_0274.OGG,ゲル花になったね。
MAY_0275.OGG,ねえねえクリスちゃん、なんて送るの。
MAY_0276.OGG,うーん、どれどれ、岡部はズアンエアへ？
MAY_0277.OGG,マユシも見たよ。あのね、本当に一通だった。
MAY_0278.OGG,でもでもマユシーはねどうして五日前に届いたかの方が気になります。
MAY_0279.OGG,じゃあさじゃあさもっとじゃんじゃん送ってみようよ。
MAY_0280.OGG,マヨシーは。
MAY_0281.OGG,わああああ！オカリナ太っ腹だね！
MAY_0282.OGG,あー おかえりエッチ。
MAY_0283.OGG,ごめんねおカリ今マユシジが唐揚げを温めようとしたんだけどね。
MAY_0284.OGG,ついいつもの癖で逆回転させちゃって、ついでだから放電させてみたの。
MAY_0285.OGG,シャワーならここにもあるよ。バスタブはないんだけどね。シャワー室っていうのかな。オカリはいつもそこを使ってるよね。
MAY_0286.OGG,マユシも行ってみたいなあ。
MAY_0287.OGG,本当ありがとう。
MAY_0288.OGG,ねえねえオカリ前から不思議だったんだけどねご飯食べながらどうして炭酸ジュース飲めるのその組み合わせって美味しいのかな。
MAY_0289.OGG,へえ。
MAY_0290.OGG,そんなんみんながおかしいんだよ。
MAY_0291.OGG,ねえねえ。
MAY_0292.OGG,あのね、唐揚げやバナナはゲル揚げとかゲルバナになっちゃって、でもお塩はゲル塩にはならなかったんだよね。
MAY_0293.OGG,んで D メールは十八文字まではちゃんと送れて十九文字以上は消えちゃうんだよね。
MAY_0294.OGG,きっとね大きなものとかたくさんは送れないんじゃないかな。
MAY_0295.OGG,あもしかしてもしかしてそのガーブブラックホールが。
MAY_0296.OGG,カーブブラックホールが。
MAY_0297.OGG,ブラックホールの穴がきついんだよ。
MAY_0298.OGG,穴がきついの。
MAY_0299.OGG,よくわかんないよ。
MAY_0300.OGG,スライムになって帰ってきた騎士さんたちがジェリーマンなんだね。
MAY_0301.OGG,なるほどー。すごく分かりやすかったよ。
MAY_0302.OGG,マユシは役に立ったかな。
MAY_0303.OGG,よかった。
MAY_0304.OGG,過去にメールを送れるってすごいことだよね。
MAY_0305.OGG,靴脱がなきゃ汚れちゃうよ。
MAY_0306.OGG,でもクリスチャンってタイムマシンなんてないやいってこの前は言ってたよ。今はあるって認めてるんだね。
MAY_0307.OGG,マヨシーはもうすぐバイトなのです。
MAY_0308.OGG,出てるおはよう。
MAY_0309.OGG,あっおカリいタイムマシン実験する前にマユシンに唐揚げ温めさせてほしいなあ。
MAY_0310.OGG,ああこれじゃもう唐揚げ温められないよ。
MAY_0311.OGG,オーボーだよ。じゃあオカに新しく電子レンジ買ってきてよ。
MAY_0312.OGG,でもまた店長さんに怒られないかな。
MAY_0313.OGG,ムキムキだもんね。
MAY_0314.OGG,セカンドエードエドションバーゼロション？
MAY_0315.OGG,実践的か。朝に届くようにして、おはようかりんってちゃんと見てもらえるようにするんだね。
MAY_0316.OGG,ええチラシの裏じゃおかりに届かないよ。
MAY_0317.OGG,大丈夫だよ。オカリナね、本当はとってもいい人なんだから。
MAY_0318.OGG,ねえねえ、それじゃあ実践的な使い方ってどんな使い方なのかな。
MAY_0319.OGG,ねえねえ。
MAY_0320.OGG,おかりんおかりんあのねマユシはよくわかんないんだけど過去を変えるって何をどう変えるの？
MAY_0321.OGG,現金だなあおカリ。まゆしは悲しいです。
MAY_0322.OGG,もっとね、世界が平和になる方法とかを考えるべきじゃないかな。
MAY_0323.OGG,例えばね、世界中の全ての人がウーパークッションを持っているようにするとか。
MAY_0324.OGG,ええ、とトラックの荷台山盛り。
MAY_0325.OGG,うん？
MAY_0326.OGG,んじゃあいつも買ってるジューシー唐揚げナンバーワンを若鶏一口唐揚げに変えてみるとかかな。
MAY_0327.OGG,へえ。
MAY_0328.OGG,まずは宝くじを買ってこなくちゃ。
MAY_0329.OGG,ああそれねこの間テレビの cm で見たよ。
MAY_0330.OGG,あのねマユシーはそもそも宝くじの買い方知らないな。
MAY_0331.OGG,オカリナ買ったことあるの？
MAY_0332.OGG,このあたり番号をディメールで送るの。
MAY_0333.OGG,じゃあマユシが当選したことにすればいいんじゃないかな。
MAY_0334.OGG,えっとね七十万円だとバナナはトラックの荷台山盛りになるかな。
MAY_0335.OGG,えーと一七零シャープと。
MAY_0336.OGG,なんだかとっても胡散臭いね。へへへ。
MAY_0337.OGG,大丈夫だよ。むしろね、おかりんはうさんくさいものが大好きだから、ぴったりだと思うな。
MAY_0338.OGG,オカリナの口癖なんだよね。
MAY_0339.OGG,おかり、どうかした？
MAY_0340.OGG,大丈夫。
MAY_0341.OGG,えっどういうこと？
MAY_0342.OGG,うん、三十秒ぐらいじゃないかな。
MAY_0343.OGG,うん、急に電話レンジちゃんのところに歩いて行ったかと思ったら、携帯を取り出してね、すごくはあはあ言い始めて。
MAY_0344.OGG,へえ、すごくはあはあ言い始めて。
MAY_0345.OGG,はあはあ。
MAY_0346.OGG,ええ？なんのこと？
MAY_0347.OGG,トラックの荷台誰が満杯にするの?
MAY_0348.OGG,どんな内容を送れば過去が変わったか分かるだろうねって。
MAY_0349.OGG,でもそんなの現金だってマヨシは思うな。
MAY_0350.OGG,ああ現金は現金でもね幸一さんいいっぱいっていう意味じゃなくて。
MAY_0351.OGG,本当良かった。でね、現金だから、もっと世界が平和になりますようにみたいなのにしようよ。
MAY_0352.OGG,例えばね、世界中の全ての人がウーパクションを持っているようにするととっても幸せだと思うよ。
MAY_0353.OGG,あ、ルカくんだ。いらっしゃい。
MAY_0354.OGG,るかくんマユシのコス着てくれる気になったの？だったら嬉しいな。
MAY_0355.OGG,おかリー ルカ君をいじめちゃだめだよ。
MAY_0356.OGG,わあじゃあおかりんは超能力者だね。
MAY_0357.OGG,ねえねえ、それよりおかり大丈夫かな。
MAY_0358.OGG,お帰り。あのね、明日バナナ買ってきてあげるね。
MAY_0359.OGG,だからね今はその子をむぎゅっと抱きしめて元気出してね。
MAY_0360.OGG,トゥトゥルー おかりおかり。
MAY_0361.OGG,ああ、うん、わかった。
MAY_0362.OGG,でね、オカリも元気になったかなって思って、ちゃんとウーパをむぎゅってした？
MAY_0363.OGG,そっか。あのね、何か悩みがあったらまゆしんに相談するんだよ。まゆしんはね、難しい話はよくわかんないけど、おかりんのことはよくわかってるもん。
MAY_0364.OGG,わかるよ。子供の頃から一緒だもん。へへ。
MAY_0365.OGG,うんありがとうじゃあね。
MAY_0366.OGG,おカリ、おはよう。
MAY_0367.OGG,ねえちゃんおはよう。
MAY_0368.OGG,なえちゃんにこれあげる。はい、どうぞ。
MAY_0369.OGG,はい、おかりにも。
MAY_0370.OGG,そこに座って何してるの。
MAY_0371.OGG,違うよなえちゃん。あのね、オカリナはきっとなんか難しいことを考えてるんだよ。
MAY_0372.OGG,オカリオカリこの時間だと電話レンジちゃんはビリビリしないんだよね。
MAY_0373.OGG,じゃあね、焼きそばパンをチンしてもいいかな。
MAY_0374.OGG,ああ、そうだった。がっかりだよ。
MAY_0375.OGG,ちなみにね、オカリは朝ごはん食べた？
MAY_0376.OGG,だったら一緒に食べる焼きそばパンは冷たいまま食べるとしてラーメン缶なら湯煎で温められるし。
MAY_0377.OGG,なえちゃんも食べる。
MAY_0378.OGG,そっか。
MAY_0379.OGG,タル君とクリスちゃんまだ来ないのかな。
MAY_0380.OGG,出てる、すずさん。
MAY_0381.OGG,ああクリスチャンだ。
MAY_0382.OGG,クリスチャン、トゥトゥル。
MAY_0383.OGG,みんな仲良くいられる方がね、まゆしいはいいな。
MAY_0384.OGG,諦めたらそこで試合終了だよ。
MAY_0385.OGG,ええ、まゆし変えてもいいの？
MAY_0386.OGG,でもね、過去を変えるって何を変えればいいのかな。
MAY_0387.OGG,あ、それじゃあね。こういうのはどうかな。羽賀君にマユシーのコスを着てもらえるように格好を変えるの。
MAY_0388.OGG,ルカ君にメールを送るとかだよへへへ。
MAY_0389.OGG,うん。
MAY_0390.OGG,わあそれねすごくいいかも。
MAY_0391.OGG,今日もね自動販売機の前で十分くらい迷っちゃったんだよ。おでん缶にしようかなラーメン缶にしようかなって。
MAY_0392.OGG,うんわかった。じゃあ過去を変える前にラーメン全部食べとかないと。
MAY_0393.OGG,もったいないもん。
MAY_0394.OGG,ああメールまだ送れてないよ。
MAY_0395.OGG,えっ、うんと、うんじゃあ昨日買ったおにぎりの具を違うものにするとか。
MAY_0396.OGG,お母か。
MAY_0397.OGG,だからね、おかかをうんと明太子にしようよ。
MAY_0398.OGG,いいと思います。萌花さんもラブ面だもんね。
MAY_0399.OGG,でもでも女の子にはね秘密がいっぱいあるのです。
MAY_0400.OGG,誰にも言えない秘密をね、自分だけに教えろげーって言ってるのと同じだよ。
MAY_0401.OGG,へえそうなのマユシはねさっきそんな覚悟せずに送ろうとしてたよ。
MAY_0402.OGG,ごめんねクリスちゃん。
MAY_0403.OGG,萌香さん、無理しないでね。
MAY_0404.OGG,ジー ジー ゼロ一。
MAY_0405.OGG,ねえねえどうして萌香さんのことシヤツシって呼ぶの。
MAY_0406.OGG,萌香さんはね、萌香さんだからだよ。それにね、しやつしさんじゃなくて編集プロダクションで働いてて。
MAY_0407.OGG,うううううううん。
MAY_0408.OGG,誰？
MAY_0409.OGG,オカリ大丈夫顔真っ青だよ。
MAY_0410.OGG,あのねマユシはよくわかんないけど。
MAY_0411.OGG,今もマユシイやオカリんたちがちゃんとこうしておしゃべりできてるっていうことはね、きっとそのパラドックスは起きてないんだよ。
MAY_0412.OGG,萌香さんっていう人もね、マユシーは知らないけど、きっと大丈夫。
MAY_0413.OGG,ええっマヨしいはアホの子じゃないよ。
MAY_0414.OGG,おっオカリ大丈夫?
MAY_0415.OGG,でもオカリすごく苦しそうだよ。
MAY_0416.OGG,お帰り。苦しいの。
MAY_0417.OGG,うん？
MAY_0418.OGG,うん。
MAY_0419.OGG,でもねこの場所ってとっても便利だよね。マユシーもお父さんお母さんが許してくれるならここに泊まりたいよ。
MAY_0420.OGG,そしたらバイトに行くのもすぐだもん。ねえねえクリスちゃん、今度みんなでお泊り会いしよう。
MAY_0421.OGG,ああそういえばそんな約束してたもんね。じゃあ今度お邪魔するね。
MAY_0422.OGG,ねえ、オカリ。
MAY_0423.OGG,おかリンって小学生の頃、すごい熱を出して一ヶ月ぐらい寝込んでたことがあったよね。
MAY_0424.OGG,あの時ねマユシイはオカリが死んじゃうんじゃないかって思ってすごく怖かったんだよ。
MAY_0425.OGG,だからね、おばあちゃんと一緒に、お空に祈ってたの。おかり死なないでって。
MAY_0426.OGG,へえそうだったんだ。オカリナってすごいんだね。
MAY_0427.OGG,でもね、まだちっちゃかったマユシーはそのことが分からなかったから、お空に祈ってて。
