emotion,rank,sample_id,wav_path,text_path,duration_sec,reference_score,intensity,text,reason
other,1,MAY_1374,refs/other/MAY_1374.wav,refs/other/MAY_1374.txt,3.44,4,3,こんなのバカみたいだよ。,文本完整，情绪明确（抱怨/无奈），时长在理想区间内。
other,2,MAY_0529,refs/other/MAY_0529.wav,refs/other/MAY_0529.txt,5.685,4,3,うん?京馬?京馬って誰?,文本完整，疑问语气明确，时长适中，适合作为参考。
other,3,MAY_1462,refs/other/MAY_1462.wav,refs/other/MAY_1462.txt,2.944,4,3,はあああれ何。,独立短句，时长适中，惊讶疑惑情绪明确，适合参考。
other,4,MAY_0121,refs/other/MAY_0121.wav,refs/other/MAY_0121.txt,2.392,3,2,あれれ お客さん。,短句但完整，带有轻微惊讶与招呼语气，时长偏短但可用。
sad,1,MAY_0160,refs/sad/MAY_0160.wav,refs/sad/MAY_0160.txt,4.784,5,4,おかりんって悪いんだ。まゆしは悲しいです。,直接陈述悲伤情绪，独立完整且时长极佳，非常适合作参考。
sad,2,MAY_1389,refs/sad/MAY_1389.wav,refs/sad/MAY_1389.txt,6.208,5,4,クリスちゃん、行かないで、行かないでよ。,挽留语句情感饱满，结构完整，时长适中，适合参考。
sad,3,MAY_1381,refs/sad/MAY_1381.wav,refs/sad/MAY_1381.txt,6.352,5,4,マヤしいはね。クリスちゃんがいなくなるの、やだよ。,文本完整，情感明确表达不舍与担忧，时长适中。
sad,4,MAY_1383,refs/sad/MAY_1383.wav,refs/sad/MAY_1383.txt,6.688,5,4,マユシだってクリスちゃんを犠牲にしてまで生きていたくないよ。,表达强烈的拒绝与悲伤，语义完整，时长合适。
sad,5,MAY_1386,refs/sad/MAY_1386.wav,refs/sad/MAY_1386.txt,6.976,5,4,でもクリスちゃんがいなくなったらマユシイは悲しいよ。,句子完整，明确表达悲伤与担忧情绪，时长处于理想区间，非常适合作为参考。
serious,1,MAY_1382,refs/serious/MAY_1382.wav,refs/serious/MAY_1382.txt,5.616,5,4,マヤ神のためなんかに消えたりしないでね。,句式完整，语气恳切严肃，时长符合标准。
serious,2,MAY_1464,refs/serious/MAY_1464.wav,refs/serious/MAY_1464.txt,6.944,5,4,第三次世界大戦って大変だ大変だよ。,文本完整独立，时长理想，严肃情绪明确，非常适合作为参考。
serious,3,MAY_0328,refs/serious/MAY_0328.wav,refs/serious/MAY_0328.txt,4.48,5,3,まずは宝くじを買ってこなくちゃ。,文本完整独立，时长适中，语气带有明确决心，非常适合作为参考。
serious,4,MAY_0575,refs/serious/MAY_0575.wav,refs/serious/MAY_0575.txt,4.597,5,3,ダルくん、フェリスちゃんを困らせたらダメなんだよ。,劝诫语气明确，句子结构完整，时长适中。
serious,5,MAY_0046,refs/serious/MAY_0046.wav,refs/serious/MAY_0046.txt,5.083,5,3,マユシはオカリナの人質だからここにいようと思います。,句子结构完整，语气坚定且带有角色特色，非常适合作为参考。
teasing,1,MAY_0336,refs/teasing/MAY_0336.wav,refs/teasing/MAY_0336.txt,4.544,5,3,なんだかとっても胡散臭いね。へへへ。,时长适中，文本完整，带有明显的调侃与轻笑情绪，非常适合作为参考。
teasing,2,MAY_0355,refs/teasing/MAY_0355.wav,refs/teasing/MAY_0355.txt,4.224,5,3,おかリー ルカ君をいじめちゃだめだよ。,语气带有调侃与轻微劝阻，句子独立，时长适中。
teasing,3,MAY_0537,refs/teasing/MAY_0537.wav,refs/teasing/MAY_0537.txt,5.045,5,3,コスプレさせたら映えそうだな。へへ。,时长处于理想区间，文本独立完整，带有明确的调侃语气，非常适合作为参考。
teasing,4,MAY_0201,refs/teasing/MAY_0201.wav,refs/teasing/MAY_0201.txt,5.12,5,3,あああ唐揚げ二個目はあげるって言ってないよ。,情绪明确带点俏皮，句子完整独立，时长完美，非常适合作为参考。
teasing,5,MAY_0718,refs/teasing/MAY_0718.wav,refs/teasing/MAY_0718.txt,5.248,5,3,やあ、お帰り。覗きは良くないよ。,情绪明确带调侃意味，句子完整独立，时长完美。
worried,1,MAY_1387,refs/worried/MAY_1387.wav,refs/worried/MAY_1387.txt,5.934,5,5,そういう問題じゃないもん!クリスさんが消えちゃうのが嫌なんだもん!,情感强烈且明确，句式完整独立，时长合适，适合表现高情绪强度。
worried,2,MAY_1466,refs/worried/MAY_1466.wav,refs/worried/MAY_1466.txt,4.624,5,4,ううわあ、マヨシは死んじゃうの?,文本完整，担忧情绪强烈明确，时长完美，极适合作为参考。
worried,3,MAY_0512,refs/worried/MAY_0512.wav,refs/worried/MAY_0512.txt,5.07,5,4,なんだかマユシは怖いよ。,情绪明确（害怕/担忧），时长适中，句子独立完整，非常适合作为参考。
worried,4,MAY_0035,refs/worried/MAY_0035.wav,refs/worried/MAY_0035.txt,5.131,5,4,ねえねえ何があったの顔色すごく悪いけど。,句子完整，关切情绪强烈且明确，时长理想，极适合作为参考。
worried,5,MAY_1158,refs/worried/MAY_1158.wav,refs/worried/MAY_1158.txt,6.576,5,4,嫌がってるのに無理やり着せたりしてねトラウマになっちゃったら良くないもん。,表达明确的担忧与劝诫，语义完整，时长理想。
